Title,Summary,Published,Link,Authors,Institutions
"A clarification of misconceptions, myths and desired status of
  artificial intelligence","  The field artificial intelligence (AI) has been founded over 65 years ago.
Starting with great hopes and ambitious goals the field progressed though
various stages of popularity and received recently a revival in the form of
deep neural networks. Some problems of AI are that so far neither
'intelligence' nor the goals of AI are formally defined causing confusion when
comparing AI to other fields. In this paper, we present a perspective on the
desired and current status of AI in relation to machine learning and statistics
and clarify common misconceptions and myths. Our discussion is intended to
uncurtain the veil of vagueness surrounding AI to see its true countenance.
",2020-08-03T17:22:53Z,http://arxiv.org/abs/2008.05607v1,"Frank Emmert-Streib, Olli Yli-Harja, Matthias Dehmer",Unknown
"Ball Mill Fault Prediction Based on Deep Convolutional Auto-Encoding
  Network","  Ball mills play a critical role in modern mining operations, making their
bearing failures a significant concern due to the potential loss of production
efficiency and economic consequences. This paper presents an anomaly detection
method based on Deep Convolutional Auto-encoding Neural Networks (DCAN) for
addressing the issue of ball mill bearing fault detection. The proposed
approach leverages vibration data collected during normal operation for
training, overcoming challenges such as labeling issues and data imbalance
often encountered in supervised learning methods. DCAN includes the modules of
convolutional feature extraction and transposed convolutional feature
reconstruction, demonstrating exceptional capabilities in signal processing and
feature extraction. Additionally, the paper describes the practical deployment
of the DCAN-based anomaly detection model for bearing fault detection,
utilizing data from the ball mill bearings of Wuhan Iron & Steel Resources
Group and fault data from NASA's bearing vibration dataset. Experimental
results validate the DCAN model's reliability in recognizing fault vibration
patterns. This method holds promise for enhancing bearing fault detection
efficiency, reducing production interruptions, and lowering maintenance costs.
",2023-11-09T17:49:07Z,http://arxiv.org/abs/2311.13571v1,"Xinkun Ai, Kun Liu, Wei Zheng, Yonggang Fan, Xinwu Wu, Peilong Zhang, LiYe Wang, JanFeng Zhu, Yuan Pan",Unknown
"Split Federated Learning Empowered Vehicular Edge Intelligence: Adaptive
  Parellel Design and Future Directions","  To realize ubiquitous intelligence of future vehicular networks, artificial
intelligence (AI) is critical since it can mine knowledge from vehicular data
to improve the quality of many AI driven vehicular services. By combining AI
techniques with vehicular networks, Vehicular Edge Intelligence (VEI) can
utilize the computing, storage, and communication resources of vehicles to
train the AI models. Nevertheless, when executing the model training, the
traditional centralized learning paradigm requires vehicles to upload their raw
data to a central server, which results in significant communication overheads
and the risk of privacy leakage. In this article, we first overview the system
architectures, performance metrics and challenges ahead of VEI design. Then we
propose to utilize distribute machine learning scheme, namely split federated
learning (SFL), to boost the development of VEI. We present a novel adaptive
and parellel SFL scheme and conduct corresponding analysis on its performance.
Future research directions are highlighted to shed light on the efficient
design of SFL.
",2024-06-22T10:15:15Z,http://arxiv.org/abs/2406.15804v2,"Xianke Qiang, Zheng Chang, Chaoxiong Ye, Timo Hamalainen, Geyong Min",Unknown
Artificial Intelligence in the Creative Industries: A Review,"  This paper reviews the current state of the art in Artificial Intelligence
(AI) technologies and applications in the context of the creative industries. A
brief background of AI, and specifically Machine Learning (ML) algorithms, is
provided including Convolutional Neural Network (CNNs), Generative Adversarial
Networks (GANs), Recurrent Neural Networks (RNNs) and Deep Reinforcement
Learning (DRL). We categorise creative applications into five groups related to
how AI technologies are used: i) content creation, ii) information analysis,
iii) content enhancement and post production workflows, iv) information
extraction and enhancement, and v) data compression. We critically examine the
successes and limitations of this rapidly advancing technology in each of these
areas. We further differentiate between the use of AI as a creative tool and
its potential as a creator in its own right. We foresee that, in the near
future, machine learning-based AI will be adopted widely as a tool or
collaborative assistant for creativity. In contrast, we observe that the
successes of machine learning in domains with fewer constraints, where AI is
the `creator', remain modest. The potential of AI (or its developers) to win
awards for its original creations in competition with human creatives is also
limited, based on contemporary technologies. We therefore conclude that, in the
context of creative industries, maximum benefit from AI will be derived where
its focus is human centric -- where it is designed to augment, rather than
replace, human creativity.
",2020-07-24T07:29:52Z,http://arxiv.org/abs/2007.12391v6,"Nantheera Anantrasirichai, David Bull",Unknown
"Surveying the reach and maturity of machine learning and artificial
  intelligence in astronomy","  Machine learning (automated processes that learn by example in order to
classify, predict, discover or generate new data) and artificial intelligence
(methods by which a computer makes decisions or discoveries that would usually
require human intelligence) are now firmly established in astronomy. Every
week, new applications of machine learning and artificial intelligence are
added to a growing corpus of work. Random forests, support vector machines, and
neural networks (artificial, deep, and convolutional) are now having a genuine
impact for applications as diverse as discovering extrasolar planets, transient
objects, quasars, and gravitationally-lensed systems, forecasting solar
activity, and distinguishing between signals and instrumental effects in
gravitational wave astronomy. This review surveys contemporary, published
literature on machine learning and artificial intelligence in astronomy and
astrophysics. Applications span seven main categories of activity:
classification, regression, clustering, forecasting, generation, discovery, and
the development of new scientific insight. These categories form the basis of a
hierarchy of maturity, as the use of machine learning and artificial
intelligence emerges, progresses or becomes established.
",2019-12-06T00:40:12Z,http://arxiv.org/abs/1912.02934v1,"Christopher J. Fluke, Colin Jacobs",Unknown
"Learning Description Logic Ontologies. Five Approaches. Where Do They
  Stand?","  The quest for acquiring a formal representation of the knowledge of a domain
of interest has attracted researchers with various backgrounds into a diverse
field called ontology learning. We highlight classical machine learning and
data mining approaches that have been proposed for (semi-)automating the
creation of description logic (DL) ontologies. These are based on association
rule mining, formal concept analysis, inductive logic programming,
computational learning theory, and neural networks. We provide an overview of
each approach and how it has been adapted for dealing with DL ontologies.
Finally, we discuss the benefits and limitations of each of them for learning
DL ontologies.
",2021-04-02T18:36:45Z,http://arxiv.org/abs/2104.01193v1,Ana Ozaki,Unknown
Neural Insights for Digital Marketing Content Design,"  In digital marketing, experimenting with new website content is one of the
key levers to improve customer engagement. However, creating successful
marketing content is a manual and time-consuming process that lacks clear
guiding principles. This paper seeks to close the loop between content creation
and online experimentation by offering marketers AI-driven actionable insights
based on historical data to improve their creative process. We present a
neural-network-based system that scores and extracts insights from a marketing
content design, namely, a multimodal neural network predicts the attractiveness
of marketing contents, and a post-hoc attribution method generates actionable
insights for marketers to improve their content in specific marketing
locations. Our insights not only point out the advantages and drawbacks of a
given current content, but also provide design recommendations based on
historical data. We show that our scoring model and insights work well both
quantitatively and qualitatively.
",2023-02-02T21:04:47Z,http://arxiv.org/abs/2302.01416v3,"Fanjie Kong, Yuan Li, Houssam Nassif, Tanner Fiez, Ricardo Henao, Shreya Chakrabarti",Unknown
Player-AI Interaction: What Neural Network Games Reveal About AI as Play,"  The advent of artificial intelligence (AI) and machine learning (ML) bring
human-AI interaction to the forefront of HCI research. This paper argues that
games are an ideal domain for studying and experimenting with how humans
interact with AI. Through a systematic survey of neural network games (n = 38),
we identified the dominant interaction metaphors and AI interaction patterns in
these games. In addition, we applied existing human-AI interaction guidelines
to further shed light on player-AI interaction in the context of AI-infused
systems. Our core finding is that AI as play can expand current notions of
human-AI interaction, which are predominantly productivity-based. In
particular, our work suggests that game and UX designers should consider flow
to structure the learning curve of human-AI interaction, incorporate
discovery-based learning to play around with the AI and observe the
consequences, and offer users an invitation to play to explore new forms of
human-AI interaction.
",2021-01-15T17:07:03Z,http://arxiv.org/abs/2101.06220v2,"Jichen Zhu, Jennifer Villareale, Nithesh Javvaji, Sebastian Risi, Mathias Löwe, Rush Weigelt, Casper Harteveld",Unknown
Towards Reliable Neural Specifications,"  Having reliable specifications is an unavoidable challenge in achieving
verifiable correctness, robustness, and interpretability of AI systems.
Existing specifications for neural networks are in the paradigm of data as
specification. That is, the local neighborhood centering around a reference
input is considered to be correct (or robust). While existing specifications
contribute to verifying adversarial robustness, a significant problem in many
research domains, our empirical study shows that those verified regions are
somewhat tight, and thus fail to allow verification of test set inputs, making
them impractical for some real-world applications. To this end, we propose a
new family of specifications called neural representation as specification,
which uses the intrinsic information of neural networks - neural activation
patterns (NAPs), rather than input data to specify the correctness and/or
robustness of neural network predictions. We present a simple statistical
approach to mining neural activation patterns. To show the effectiveness of
discovered NAPs, we formally verify several important properties, such as
various types of misclassifications will never happen for a given NAP, and
there is no ambiguity between different NAPs. We show that by using NAP, we can
verify a significant region of the input space, while still recalling 84% of
the data on MNIST. Moreover, we can push the verifiable bound to 10 times
larger on the CIFAR10 benchmark. Thus, we argue that NAPs can potentially be
used as a more reliable and extensible specification for neural network
verification.
",2022-10-28T13:21:28Z,http://arxiv.org/abs/2210.16114v5,"Chuqin Geng, Nham Le, Xiaojie Xu, Zhaoyue Wang, Arie Gurfinkel, Xujie Si",Unknown
"Proof of Training (PoT): Harnessing Crypto Mining Power for Distributed
  AI Training","  In the midst of the emerging trend of integrating artificial intelligence
(AI) with crypto mining, we identify three major challenges that create a gap
between these two fields. To bridge this gap, we introduce the
proof-of-training (PoT) protocol, an approach that combines the strengths of
both AI and blockchain technology. The PoT protocol utilizes the practical
Byzantine fault tolerance (PBFT) consensus mechanism to synchronize global
states. To evaluate the performance of the protocol design, we present an
implementation of a decentralized training network (DTN) that adopts the PoT
protocol. Our results indicate that the protocol exhibits considerable
potential in terms of task throughput, system robustness, and network security.
",2023-07-13T21:14:46Z,http://arxiv.org/abs/2307.07066v1,Peihao Li,Unknown
